id, name, scryfall_uri, released_at, uri, 
ffd079d8-b191-4f54-bb04-427b3736f745, Edge of the Divinity, https://scryfall.com/card/eve/87/edge-of-the-divinity?utm_source=api, 2008-07-25, https://api.scryfall.com/cards/ffd079d8-b191-4f54-bb04-427b3736f745, 
a6555cbb-97fc-4258-9b11-096c3eaec833, Duergar Assailant, https://scryfall.com/card/eve/136/duergar-assailant?utm_source=api, 2008-07-25, https://api.scryfall.com/cards/a6555cbb-97fc-4258-9b11-096c3eaec833, 
4b2a5df9-cec9-4f93-b0e3-d6181eb893b1, Armor of Faith, https://scryfall.com/card/me2/4/armor-of-faith?utm_source=api, 2008-09-22, https://api.scryfall.com/cards/4b2a5df9-cec9-4f93-b0e3-d6181eb893b1, 
59fdc045-b938-4321-aec3-51685cbbaa52, Akrasan Squire, https://scryfall.com/card/ala/1/akrasan-squire?utm_source=api, 2008-10-03, https://api.scryfall.com/cards/59fdc045-b938-4321-aec3-51685cbbaa52, 
36197ed0-4382-4de3-8359-73cb74edc78b, Angel's Herald, https://scryfall.com/card/ala/2/angels-herald?utm_source=api, 2008-10-03, https://api.scryfall.com/cards/36197ed0-4382-4de3-8359-73cb74edc78b, 
2f6ed7bd-2186-4e92-9fbc-e2abbfd3bc23, Blaze of Glory, https://scryfall.com/card/me4/7/blaze-of-glory?utm_source=api, 2011-01-10, https://api.scryfall.com/cards/2f6ed7bd-2186-4e92-9fbc-e2abbfd3bc23, 
3a7f9bd7-7232-4956-873d-52ff82eabfb3, Ardent Recruit, https://scryfall.com/card/td2/4/ardent-recruit?utm_source=api, 2011-05-14, https://api.scryfall.com/cards/3a7f9bd7-7232-4956-873d-52ff82eabfb3, 
eeb1f8ff-c32f-4d75-8c04-f97d05ba47d6, Alliance of Arms, https://scryfall.com/card/cmd/4/alliance-of-arms?utm_source=api, 2011-06-17, https://api.scryfall.com/cards/eeb1f8ff-c32f-4d75-8c04-f97d05ba47d6, 
d7440288-6c55-4502-bf20-3c5b50a2de5a, Burden of Guilt, https://scryfall.com/card/dka/4/burden-of-guilt?utm_source=api, 2012-02-03, https://api.scryfall.com/cards/d7440288-6c55-4502-bf20-3c5b50a2de5a, 
ec06e42f-e294-44ef-8fa8-1d1a4c2090d8, Divine Deflection, https://scryfall.com/card/avr/18/divine-deflection?utm_source=api, 2012-05-04, https://api.scryfall.com/cards/ec06e42f-e294-44ef-8fa8-1d1a4c2090d8, 
